country,Year,Population,Yearly %   Change,Yearly  Change,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
San Marino,2019,33860,0.22 %,75,564,96.9 %,32796,0.00 %,7713468100,218
San Marino,2018,33785,0.34 %,114,563,96.6 %,32626,0.00 %,7631091040,218
San Marino,2017,33671,0.5 %,167,561,96.3 %,32422,0.00 %,7547858925,219
San Marino,2016,33504,0.7 %,232,558,96 %,32177,0 %,7464022049,219
San Marino,2015,33272,1.28 %,409,555,95.8 %,31885,0 %,7379797139,219
San Marino,2010,31229,1.27 %,381,520,95.4 %,29785,0 %,6956823603,219
San Marino,2005,29324,1.32 %,372,489,94.2 %,27618,0 %,6541907027,218
San Marino,2000,27462,1.16 %,307,458,93.3 %,25619,0 %,6143493823,218
San Marino,1995,25928,1.45 %,361,432,91.5 %,23720,0 %,5744212979,218
San Marino,1990,24125,1.14 %,265,402,90.1 %,21735,0 %,5327231061,218
San Marino,1985,22798,1.22 %,268,380,87.9 %,20049,0 %,4870921740,215
San Marino,1980,21459,1.59 %,326,358,80.9 %,17352,0 %,4458003514,214
San Marino,1975,19831,0.63 %,122,331,71.1 %,14107,0 %,4079480606,215
San Marino,1970,19221,1.88 %,342,320,59.5 %,11445,0 %,3700437046,215
San Marino,1965,17513,2.56 %,416,292,36.2 %,6340,0 %,3339583597,215
San Marino,1960,15432,2.28 %,329,257,48.8 %,7529,0 %,3034949748,213
San Marino,1955,13789,1.53 %,202,230,46 %,6340,0 %,2773019936,215
