country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Sao Tome And Principe,2020,219159,1.91 %,4103,-1680,18.6,4.35,228,74.0 %,162101,0.00 %,7794798739,187
Sao Tome And Principe,2019,215056,1.91 %,4028,-1680,18.3,4.55,224,73.0 %,157043,0.00 %,7713468100,187
Sao Tome And Principe,2018,211028,1.90 %,3939,-1680,18.3,4.55,220,72.0 %,152026,0.00 %,7631091040,187
Sao Tome And Principe,2017,207089,1.90 %,3862,-1680,18.3,4.55,216,71.0 %,147051,0.00 %,7547858925,187
Sao Tome And Principe,2016,203227,1.90 %,3795,-1680,18.3,4.55,212,69.9 %,142120,0.00 %,7464022049,187
Sao Tome And Principe,2015,199432,2.03 %,3812,-1680,18.3,4.60,208,68.8 %,137228,0.00 %,7379797139,187
Sao Tome And Principe,2010,180371,2.75 %,4580,-678,18.3,4.85,188,62.9 %,113520,0.00 %,6956823603,188
Sao Tome And Principe,2005,157472,2.05 %,3042,-1680,17.6,5.08,164,58.5 %,92078,0.00 %,6541907027,190
Sao Tome And Principe,2000,142262,1.56 %,2117,-1910,17.2,5.30,148,52.1 %,74049,0.00 %,6143493823,191
Sao Tome And Principe,1995,131678,2.01 %,2494,-1120,16.3,5.68,137,46.7 %,61496,0.00 %,5744212979,191
Sao Tome And Principe,1990,119209,2.59 %,2857,-438,15.7,5.96,124,41.7 %,49713,0.00 %,5327231061,190
Sao Tome And Principe,1985,104924,1.84 %,1826,-1200,15.9,6.24,109,37.6 %,39432,0.00 %,4870921740,191
Sao Tome And Principe,1980,95794,2.87 %,2531,-244,16.1,6.50,100,33.2 %,31791,0.00 %,4458003514,192
Sao Tome And Principe,1975,83138,2.20 %,1715,-502,16.0,6.52,87,31.4 %,26136,0.00 %,4079480606,193
Sao Tome And Principe,1970,74564,2.82 %,1934,-149,16.2,6.40,78,29.4 %,21918,0.00 %,3700437046,193
Sao Tome And Principe,1965,64892,0.18 %,118,-1830,20.1,6.30,68,21.8 %,14147,0.00 %,3339583597,189
Sao Tome And Principe,1960,64302,1.80 %,1099,-696,24.4,6.20,67,16.1 %,10327,0.00 %,3034949748,189
Sao Tome And Principe,1955,58806,-0.40 %,-239,-1828,24.5,6.20,61,14.7 %,8661,0.00 %,2773019936,189
