country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Seychelles,2020,98347,0.62 %,608,-200,34.2,2.46,214,56.2 %,55308,0.00 %,7794798739,200
Seychelles,2019,97739,0.66 %,643,-200,33.1,2.40,212,55.9 %,54664,0.00 %,7713468100,200
Seychelles,2018,97096,0.70 %,678,-200,33.1,2.40,211,55.6 %,53989,0.00 %,7631091040,200
Seychelles,2017,96418,0.74 %,708,-200,33.1,2.40,210,55.3 %,53300,0.00 %,7547858925,200
Seychelles,2016,95710,0.77 %,732,-200,33.1,2.40,208,55.0 %,52609,0.00 %,7464022049,200
Seychelles,2015,94978,0.80 %,743,-200,32.8,2.38,206,54.7 %,51933,0.00 %,7379797139,200
Seychelles,2010,91264,0.58 %,523,-545,31.3,2.30,198,53.4 %,48752,0.00 %,6956823603,200
Seychelles,2005,88648,1.82 %,1530,527,28.9,2.20,193,51.7 %,45854,0.00 %,6541907027,200
Seychelles,2000,80996,1.11 %,869,-51,26.2,2.18,176,50.5 %,40927,0.00 %,6143493823,200
Seychelles,1995,76649,1.67 %,1216,101,24.5,2.57,167,49.7 %,38070,0.00 %,5744212979,200
Seychelles,1990,70570,0.23 %,159,-1039,21.9,2.94,153,49.3 %,34796,0.00 %,5327231061,199
Seychelles,1985,69775,1.04 %,706,-637,21.8,3.51,152,49.3 %,34423,0.00 %,4870921740,199
Seychelles,1980,66244,2.14 %,1332,-60,19.9,4.27,144,49.4 %,32727,0.00 %,4458003514,198
Seychelles,1975,59585,2.62 %,1443,34,18.9,5.38,130,46.3 %,27570,0.00 %,4079480606,199
Seychelles,1970,52368,2.28 %,1117,-222,18.0,5.92,114,39.1 %,20458,0.00 %,3700437046,201
Seychelles,1965,46782,2.37 %,1036,-197,19.9,5.59,102,33.1 %,15492,0.00 %,3339583597,198
Seychelles,1960,41603,1.32 %,530,-512,22.0,5.00,90,27.6 %,11496,0.00 %,3034949748,200
Seychelles,1955,38955,1.41 %,526,-475,24.1,5.00,85,27.4 %,10683,0.00 %,2773019936,198
