country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Slovenia,2020,2078938,0.01 %,284,2000,44.5,1.60,103,55.2 %,1147583,0.03 %,7794798739,149
Slovenia,2019,2078654,0.04 %,817,2000,43.3,1.58,103,54.9 %,1141344,0.03 %,7713468100,149
Slovenia,2018,2077837,0.07 %,1443,2000,43.3,1.58,103,54.6 %,1135133,0.03 %,7631091040,149
Slovenia,2017,2076394,0.11 %,2184,2000,43.3,1.58,103,54.4 %,1128872,0.03 %,7547858925,148
Slovenia,2016,2074210,0.15 %,3011,2000,43.3,1.58,103,54.1 %,1122466,0.03 %,7464022049,148
Slovenia,2015,2071199,0.27 %,5572,3314,43.0,1.58,103,53.9 %,1115846,0.03 %,7379797139,147
Slovenia,2010,2043337,0.48 %,9672,7870,41.6,1.44,101,52.7 %,1076953,0.03 %,6956823603,145
Slovenia,2005,1994976,0.07 %,1452,3000,40.1,1.21,99,51.6 %,1028742,0.03 %,6541907027,145
Slovenia,2000,1987717,-0.03 %,-683,297,38.1,1.25,99,50.8 %,1009242,0.03 %,6143493823,145
Slovenia,1995,1991131,-0.15 %,-3055,-3492,36.2,1.33,99,50.6 %,1008125,0.03 %,5744212979,142
Slovenia,1990,2006405,0.62 %,12255,6522,34.2,1.65,100,50.4 %,1011056,0.04 %,5327231061,141
Slovenia,1985,1945130,1.16 %,21860,13673,32.5,1.93,97,49.6 %,964485,0.04 %,4870921740,138
Slovenia,1980,1835831,1.05 %,18642,6937,31.6,2.16,91,48.0 %,882036,0.04 %,4458003514,136
Slovenia,1975,1742623,0.86 %,14608,3588,31.4,2.20,87,42.4 %,738422,0.04 %,4079480606,135
Slovenia,1970,1669581,0.49 %,8030,-2990,31.0,2.27,83,37.0 %,617804,0.05 %,3700437046,134
Slovenia,1965,1629433,0.53 %,8559,-4412,30.3,2.34,81,32.5 %,529512,0.05 %,3339583597,124
Slovenia,1960,1586637,0.77 %,11886,-1934,29.2,2.38,79,28.2 %,447501,0.05 %,3034949748,128
Slovenia,1955,1527205,0.72 %,10822,-4000,28.2,2.68,76,23.8 %,363718,0.06 %,2773019936,124
