country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Solomon Islands,2020,686884,2.55 %,17061,-1600,19.9,4.44,25,23.2 %,159686,0.01 %,7794798739,166
Solomon Islands,2019,669823,2.60 %,16966,-1600,19.6,4.44,24,23.0 %,153795,0.01 %,7713468100,166
Solomon Islands,2018,652857,2.64 %,16818,-1600,19.6,4.44,23,22.7 %,148021,0.01 %,7631091040,166
Solomon Islands,2017,636039,2.68 %,16601,-1600,19.6,4.44,23,22.4 %,142360,0.01 %,7547858925,166
Solomon Islands,2016,619438,2.71 %,16320,-1600,19.6,4.44,22,22.1 %,136808,0.01 %,7464022049,167
Solomon Islands,2015,603118,2.70 %,15051,-1600,19.6,4.44,22,21.8 %,131361,0.01 %,7379797139,167
Solomon Islands,2010,527861,2.35 %,11589,-2851,19.5,4.40,19,20.0 %,105810,0.01 %,6956823603,169
Solomon Islands,2005,469918,2.63 %,11452,-1689,19.1,4.60,17,17.8 %,83789,0.01 %,6541907027,169
Solomon Islands,2000,412660,2.81 %,10676,-1057,18.7,4.91,15,15.8 %,65246,0.01 %,6143493823,172
Solomon Islands,1995,359281,2.87 %,9483,-1336,17.9,5.53,13,14.7 %,52678,0.01 %,5744212979,174
Solomon Islands,1990,311866,2.87 %,8216,-1701,17.0,6.13,11,13.7 %,42649,0.01 %,5327231061,174
Solomon Islands,1985,270788,3.27 %,8048,-684,16.2,6.43,10,12.4 %,33669,0.01 %,4870921740,174
Solomon Islands,1980,230546,3.58 %,7429,-483,16.3,7.04,8,10.6 %,24390,0.01 %,4458003514,174
Solomon Islands,1975,193402,3.83 %,6630,86,16.3,7.24,7,9.1 %,17651,0.00 %,4079480606,175
Solomon Islands,1970,160250,3.21 %,4687,292,18.2,6.54,6,8.9 %,14293,0.00 %,3700437046,175
Solomon Islands,1965,136816,3.03 %,3793,472,18.3,6.40,5,7.2 %,9914,0.00 %,3339583597,175
Solomon Islands,1960,117849,2.93 %,3169,630,18.3,6.40,4,5.8 %,6798,0.00 %,3034949748,174
Solomon Islands,1955,102002,2.58 %,2442,565,18.6,6.40,4,4.7 %,4774,0.00 %,2773019936,175
