country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Somalia,2020,15893222,2.92 %,450317,-40000,16.7,6.12,25,46.8 %,7431038,0.20 %,7794798739,73
Somalia,2019,15442905,2.90 %,434679,-40000,16.3,6.51,25,46.1 %,7122882,0.20 %,7713468100,73
Somalia,2018,15008226,2.87 %,419047,-40000,16.3,6.51,24,45.5 %,6827415,0.20 %,7631091040,73
Somalia,2017,14589179,2.84 %,403543,-40000,16.3,6.51,23,44.9 %,6544404,0.19 %,7547858925,73
Somalia,2016,14185636,2.82 %,388435,-40000,16.3,6.51,23,44.2 %,6273587,0.19 %,7464022049,73
Somalia,2015,13797201,2.76 %,350664,-46681,16.2,6.61,22,43.6 %,6014594,0.19 %,7379797139,74
Somalia,2010,12043883,2.89 %,319404,-39999,15.9,7.10,19,39.3 %,4738106,0.17 %,6956823603,73
Somalia,2005,10446863,3.32 %,314922,0,16.1,7.47,17,36.2 %,3779950,0.16 %,6541907027,77
Somalia,2000,8872254,3.44 %,276123,0,16.5,7.70,14,33.8 %,2996056,0.14 %,6143493823,83
Somalia,1995,7491637,0.73 %,53309,-164401,17.3,7.53,12,32.3 %,2421245,0.13 %,5744212979,89
Somalia,1990,7225092,1.68 %,115293,-82157,17.8,7.26,12,30.4 %,2193935,0.14 %,5327231061,87
Somalia,1985,6648627,1.14 %,73499,-90906,18.0,7.07,11,28.7 %,1906249,0.14 %,4870921740,85
Somalia,1980,6281134,10.11 %,480168,359221,18.1,7.00,10,27.1 %,1701924,0.14 %,4458003514,82
Somalia,1975,3880292,2.41 %,87145,0,18.2,7.10,6,25.5 %,989409,0.10 %,4079480606,103
Somalia,1970,3444568,2.34 %,75222,382,18.3,7.25,5,22.7 %,781165,0.09 %,3700437046,105
Somalia,1965,3068459,2.17 %,62497,-266,18.5,7.25,5,20.0 %,612593,0.09 %,3339583597,105
Somalia,1960,2755972,2.04 %,52886,-266,18.9,7.25,4,17.3 %,477113,0.09 %,3034949748,107
Somalia,1955,2491542,1.93 %,45492,0,19.2,7.25,4,14.9 %,370572,0.09 %,2773019936,105
