country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Sudan,2020,43849260,2.42 %,1036022,-50000,19.7,4.43,25,35.0 %,15349424,0.56 %,7794798739,34
Sudan,2019,42813238,2.42 %,1011705,-50000,19.0,4.69,24,34.7 %,14852586,0.56 %,7713468100,35
Sudan,2018,41801533,2.42 %,988136,-50000,19.0,4.69,24,34.4 %,14380217,0.55 %,7631091040,35
Sudan,2017,40813397,2.42 %,965958,-50000,19.0,4.69,23,34.1 %,13931288,0.54 %,7547858925,35
Sudan,2016,39847439,2.43 %,944489,-50000,19.0,4.69,23,33.9 %,13504639,0.53 %,7464022049,34
Sudan,2015,38902950,2.40 %,871587,-107629,18.9,4.75,22,33.7 %,13099314,0.53 %,7379797139,34
Sudan,2010,34545013,2.22 %,719099,-196537,18.3,5.00,20,32.9 %,11378101,0.50 %,6956823603,35
Sudan,2005,30949516,2.56 %,734900,-109201,18.1,5.30,18,32.7 %,10126640,0.47 %,6541907027,36
Sudan,2000,27275015,2.51 %,636054,-120536,17.9,5.65,15,32.5 %,8855115,0.44 %,6143493823,37
Sudan,1995,24094747,3.64 %,789431,129162,17.7,6.00,14,32.2 %,7768800,0.42 %,5744212979,38
Sudan,1990,20147590,3.20 %,587481,30000,17.0,6.30,11,28.6 %,5764212,0.38 %,5327231061,42
Sudan,1985,17210187,3.48 %,540544,44000,16.6,6.63,10,22.9 %,3947451,0.35 %,4870921740,43
Sudan,1980,14507468,3.62 %,472667,36000,16.4,6.92,8,20.0 %,2895483,0.33 %,4458003514,47
Sudan,1975,12144135,3.39 %,372487,4000,16.5,6.90,7,18.9 %,2300428,0.30 %,4079480606,50
Sudan,1970,10281700,3.23 %,302321,0,16.8,6.86,6,16.5 %,1698802,0.28 %,3700437046,51
Sudan,1965,8770097,3.06 %,245121,0,17.1,6.75,5,13.4 %,1172787,0.26 %,3339583597,61
Sudan,1960,7544491,2.87 %,199039,0,17.5,6.65,4,10.7 %,810765,0.25 %,3034949748,59
Sudan,1955,6549298,2.70 %,163102,0,17.8,6.65,4,8.6 %,562183,0.24 %,2773019936,61
