country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Trinidad And Tobago,2020,1399488,0.32 %,4515,-800,36.2,1.73,273,52.4 %,733146,0.02 %,7794798739,154
Trinidad And Tobago,2019,1394973,0.37 %,5130,-800,34.3,1.78,272,52.4 %,731559,0.02 %,7713468100,153
Trinidad And Tobago,2018,1389843,0.42 %,5784,-800,34.3,1.78,271,52.5 %,730005,0.02 %,7631091040,153
Trinidad And Tobago,2017,1384059,0.47 %,6499,-800,34.3,1.78,270,52.6 %,728446,0.02 %,7547858925,153
Trinidad And Tobago,2016,1377560,0.53 %,7232,-800,34.3,1.78,269,52.8 %,726847,0.02 %,7464022049,153
Trinidad And Tobago,2015,1370328,0.63 %,8436,-800,33.8,1.80,267,52.9 %,725194,0.02 %,7379797139,153
Trinidad And Tobago,2010,1328147,0.48 %,6329,-3721,31.9,1.80,259,54.0 %,717501,0.02 %,6956823603,153
Trinidad And Tobago,2005,1296502,0.46 %,5870,-3498,29.8,1.75,253,55.0 %,712883,0.02 %,6541907027,152
Trinidad And Tobago,2000,1267153,0.21 %,2591,-6852,27.7,1.82,247,55.9 %,708868,0.02 %,6143493823,150
Trinidad And Tobago,1995,1254200,0.54 %,6617,-6563,25.7,2.18,244,55.1 %,690758,0.02 %,5744212979,149
Trinidad And Tobago,1990,1221116,0.85 %,10166,-9077,24.1,2.75,238,54.2 %,661343,0.02 %,5327231061,149
Trinidad And Tobago,1985,1170285,1.53 %,17108,-6734,22.7,3.28,228,53.2 %,622994,0.02 %,4870921740,148
Trinidad And Tobago,1980,1084744,1.42 %,14762,-5987,21.6,3.24,211,52.3 %,567444,0.02 %,4458003514,146
Trinidad And Tobago,1975,1010936,1.35 %,13115,-5779,20.1,3.45,197,47.7 %,482390,0.02 %,4079480606,145
Trinidad And Tobago,1970,945360,0.73 %,6725,-12262,18.8,3.81,184,43.1 %,407105,0.03 %,3700437046,144
Trinidad And Tobago,1965,911737,1.46 %,12752,-11359,18.2,5.04,178,38.5 %,351265,0.03 %,3339583597,142
Trinidad And Tobago,1960,847979,2.77 %,21654,-737,18.7,5.30,165,34.2 %,289795,0.03 %,3034949748,143
Trinidad And Tobago,1955,739709,2.76 %,18815,-764,19.4,5.30,144,30.1 %,222449,0.03 %,2773019936,142
