country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Ukraine,2020,43733762,-0.59 %,-259876,10000,41.2,1.44,75,69.4 %,30334632,0.56 %,7794798739,35
Ukraine,2019,43993638,-0.57 %,-252518,10000,40.2,1.48,76,69.2 %,30425950,0.57 %,7713468100,33
Ukraine,2018,44246156,-0.54 %,-241553,10000,40.2,1.48,76,69.0 %,30521470,0.58 %,7631091040,32
Ukraine,2017,44487709,-0.51 %,-225993,10000,40.2,1.48,77,68.8 %,30622539,0.59 %,7547858925,31
Ukraine,2016,44713702,-0.46 %,-207937,10000,40.2,1.48,77,68.7 %,30730872,0.60 %,7464022049,31
Ukraine,2015,44921639,-0.38 %,-174090,26431,40.0,1.49,78,68.7 %,30840974,0.61 %,7379797139,31
Ukraine,2010,45792090,-0.47 %,-219736,53908,39.5,1.38,79,68.6 %,31411663,0.66 %,6956823603,28
Ukraine,2005,46890772,-0.81 %,-389459,-33089,39.1,1.15,81,67.8 %,31788197,0.72 %,6541907027,27
Ukraine,2000,48838065,-0.83 %,-413144,-92453,37.8,1.24,84,67.1 %,32793567,0.79 %,6143493823,23
Ukraine,1995,50903785,-0.22 %,-111864,14884,36.4,1.62,88,67.0 %,34081946,0.89 %,5744212979,23
Ukraine,1990,51463105,0.21 %,108766,0,35.3,1.95,89,66.8 %,34356066,0.97 %,5327231061,22
Ukraine,1985,50919275,0.38 %,190680,37818,34.0,2.00,88,64.7 %,32935869,1.05 %,4870921740,19
Ukraine,1980,49965874,0.49 %,242042,20877,33.5,1.98,86,61.7 %,30827293,1.12 %,4458003514,17
Ukraine,1975,48755665,0.70 %,333362,41241,33.3,2.08,84,58.4 %,28469686,1.20 %,4079480606,16
Ukraine,1970,47088857,0.79 %,364862,53753,32.0,2.02,81,54.8 %,25817971,1.27 %,3700437046,16
Ukraine,1965,45264548,1.19 %,519979,91154,29.8,2.13,78,50.6 %,22924810,1.36 %,3339583597,15
Ukraine,1960,42664652,1.29 %,529032,-64464,28.9,2.70,74,46.8 %,19962621,1.41 %,3034949748,15
Ukraine,1955,40019491,1.42 %,544369,8785,28.3,2.81,69,41.4 %,16557439,1.44 %,2773019936,15
