country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
United States Virgin Islands,2020,104425,-0.15 %,-153,-451,42.6,2.05,298,96.3 %,100599,0.00 %,7794798739,199
United States Virgin Islands,2019,104578,-0.10 %,-102,-451,41.5,2.24,299,96.1 %,100537,0.00 %,7713468100,198
United States Virgin Islands,2018,104680,-0.07 %,-71,-451,41.5,2.24,299,95.9 %,100424,0.00 %,7631091040,198
United States Virgin Islands,2017,104751,-0.08 %,-84,-451,41.5,2.24,299,95.7 %,100289,0.00 %,7547858925,198
United States Virgin Islands,2016,104835,-0.12 %,-123,-451,41.5,2.24,300,95.6 %,100170,0.00 %,7464022049,198
United States Virgin Islands,2015,104958,-0.21 %,-226,-900,41.3,2.29,300,95.4 %,100095,0.00 %,7379797139,197
United States Virgin Islands,2010,106087,-0.32 %,-341,-1253,39.2,2.42,303,94.6 %,100411,0.00 %,6956823603,195
United States Virgin Islands,2005,107794,-0.17 %,-186,-1054,36.5,2.14,308,93.7 %,100963,0.00 %,6541907027,194
United States Virgin Islands,2000,108722,0.25 %,266,-787,33.7,2.19,311,92.6 %,100662,0.00 %,6143493823,193
United States Virgin Islands,1995,107392,0.69 %,727,-924,30.8,2.79,307,90.4 %,97122,0.00 %,5744212979,195
United States Virgin Islands,1990,103756,-0.29 %,-305,-2231,28.3,3.02,296,87.7 %,90979,0.00 %,5327231061,193
United States Virgin Islands,1985,105280,1.22 %,1240,-698,24.0,2.97,301,84.3 %,88730,0.00 %,4870921740,190
United States Virgin Islands,1980,99080,2.76 %,2522,392,22.2,3.49,283,80.1 %,79410,0.00 %,4458003514,191
United States Virgin Islands,1975,86470,5.96 %,4349,1881,20.3,4.66,247,75.2 %,65064,0.00 %,4079480606,192
United States Virgin Islands,1970,64726,5.20 %,2899,649,23.2,5.52,185,69.6 %,45044,0.00 %,3700437046,195
United States Virgin Islands,1965,50233,8.68 %,3420,2054,20.3,5.67,144,63.3 %,31787,0.00 %,3339583597,203
United States Virgin Islands,1960,33135,2.23 %,691,-107,21.1,5.49,95,56.5 %,18714,0.00 %,3034949748,203
United States Virgin Islands,1955,29682,2.07 %,577,-60,21.5,5.25,85,57.2 %,16982,0.00 %,2773019936,203
