country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Uzbekistan,2020,33469203,1.48 %,487487,-8863,27.8,2.43,79,50.1 %,16756329,0.43 %,7794798739,42
Uzbekistan,2019,32981716,1.56 %,505472,-8863,26.5,2.43,78,50.2 %,16545875,0.43 %,7713468100,42
Uzbekistan,2018,32476244,1.62 %,516459,-8863,26.5,2.43,76,50.3 %,16337222,0.43 %,7631091040,42
Uzbekistan,2017,31959785,1.65 %,518034,-8863,26.5,2.43,75,50.5 %,16130957,0.42 %,7547858925,42
Uzbekistan,2016,31441751,1.66 %,512194,-8863,26.5,2.43,74,50.7 %,15927890,0.42 %,7464022049,42
Uzbekistan,2015,30929557,1.64 %,482730,-13294,26.2,2.43,73,50.8 %,15720465,0.42 %,7379797139,42
Uzbekistan,2010,28515909,1.53 %,417624,-28026,24.5,2.49,67,51.1 %,14576671,0.41 %,6956823603,42
Uzbekistan,2005,26427789,1.30 %,331567,-48459,22.8,2.51,62,48.7 %,12868248,0.40 %,6541907027,42
Uzbekistan,2000,24769955,1.68 %,395786,-48527,21.0,3.10,58,46.3 %,11461701,0.40 %,6143493823,39
Uzbekistan,1995,22791026,2.24 %,478536,-64555,19.8,3.95,54,43.9 %,9998260,0.40 %,5744212979,40
Uzbekistan,1990,20398348,2.46 %,467413,-71206,19.6,4.40,48,41.5 %,8464364,0.38 %,5327231061,40
Uzbekistan,1985,18061284,2.58 %,432505,-37034,19.6,4.80,42,40.8 %,7374012,0.37 %,4870921740,41
Uzbekistan,1980,15898757,2.79 %,408256,14416,18.9,5.46,37,40.9 %,6500596,0.36 %,4458003514,41
Uzbekistan,1975,13857478,2.78 %,355432,14133,18.0,6.16,33,39.2 %,5430156,0.34 %,4079480606,41
Uzbekistan,1970,12080317,3.61 %,392689,89235,17.5,6.40,28,36.8 %,4446089,0.33 %,3700437046,44
Uzbekistan,1965,10116870,3.48 %,318114,32325,19.0,6.50,24,35.4 %,3579634,0.30 %,3339583597,54
Uzbekistan,1960,8526300,3.22 %,249793,19804,22.2,5.90,20,34.1 %,2904959,0.28 %,3034949748,50
Uzbekistan,1955,7277333,3.04 %,202655,34444,23.6,5.30,17,31.7 %,2305364,0.26 %,2773019936,54
