country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Vanuatu,2020,307145,2.42 %,7263,120,21.1,3.80,25,24.4 %,75025,0.00 %,7794798739,181
Vanuatu,2019,299882,2.46 %,7202,120,20.8,3.96,25,24.4 %,73139,0.00 %,7713468100,181
Vanuatu,2018,292680,2.51 %,7170,120,20.8,3.96,24,24.4 %,71301,0.00 %,7631091040,181
Vanuatu,2017,285510,2.58 %,7180,120,20.8,3.96,23,24.3 %,69511,0.00 %,7547858925,182
Vanuatu,2016,278330,2.66 %,7200,120,20.8,3.96,23,24.3 %,67768,0.00 %,7464022049,182
Vanuatu,2015,271130,2.80 %,6984,357,20.8,4.00,22,24.4 %,66048,0.00 %,7379797139,183
Vanuatu,2010,236211,2.45 %,5386,-655,21.2,4.20,19,24.5 %,57802,0.00 %,6956823603,184
Vanuatu,2005,209282,2.50 %,4862,-515,19.8,4.40,17,23.1 %,48362,0.00 %,6541907027,184
Vanuatu,2000,184972,1.92 %,3363,-1477,18.8,4.59,15,21.7 %,40109,0.00 %,6143493823,184
Vanuatu,1995,168158,2.79 %,4317,-190,18.5,4.83,14,20.2 %,33923,0.00 %,5744212979,185
Vanuatu,1990,146573,2.43 %,3318,-723,18.1,5.04,12,18.7 %,27443,0.00 %,5327231061,186
Vanuatu,1985,129984,2.37 %,2877,-801,17.7,5.40,11,16.7 %,21743,0.00 %,4870921740,187
Vanuatu,1980,115597,2.97 %,3148,-87,17.5,5.75,9,14.7 %,17045,0.00 %,4458003514,188
Vanuatu,1975,99859,3.18 %,2896,155,17.3,6.11,8,13.4 %,13378,0.00 %,4079480606,187
Vanuatu,1970,85377,2.83 %,2221,-243,17.3,6.46,7,12.3 %,10524,0.00 %,3700437046,189
Vanuatu,1965,74270,3.12 %,2116,-130,16.8,7.00,6,11.3 %,8416,0.00 %,3339583597,191
Vanuatu,1960,63689,3.01 %,1754,-176,16.8,7.35,5,10.4 %,6627,0.00 %,3034949748,190
Vanuatu,1955,54921,2.86 %,1445,-179,16.8,7.60,5,9.5 %,5243,0.00 %,2773019936,191
