country,Year,Population,Yearly %   Change,Yearly  Change,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Wallis And Futuna Islands,2019,11432,-1.96 %,-229,82,0 %,0,0.00 %,7713468100,226
Wallis And Futuna Islands,2018,11661,-2.01 %,-239,83,0 %,0,0.00 %,7631091040,225
Wallis And Futuna Islands,2017,11900,-1.71 %,-207,85,0 %,0,0.00 %,7547858925,225
Wallis And Futuna Islands,2016,12107,-1.3 %,-159,86,0 %,0,0 %,7464022049,225
Wallis And Futuna Islands,2015,12266,-0.68 %,-85,88,0 %,0,0 %,7379797139,225
Wallis And Futuna Islands,2010,12689,-3.21 %,-450,91,0 %,0,0 %,6956823603,225
Wallis And Futuna Islands,2005,14939,0.33 %,49,107,0 %,0,0 %,6541907027,223
Wallis And Futuna Islands,2000,14694,0.76 %,109,105,0 %,0,0 %,6143493823,223
Wallis And Futuna Islands,1995,14149,0.5 %,70,101,0 %,0,0 %,5744212979,224
Wallis And Futuna Islands,1990,13800,0.26 %,36,99,0 %,0,0 %,5327231061,222
Wallis And Futuna Islands,1985,13622,3.94 %,478,97,0 %,0,0 %,4870921740,220
Wallis And Futuna Islands,1980,11231,3.8 %,382,80,0 %,0,0 %,4458003514,222
Wallis And Futuna Islands,1975,9320,1.03 %,93,67,0 %,0,0 %,4079480606,223
Wallis And Futuna Islands,1970,8853,0.29 %,26,63,0 %,0,0 %,3700437046,222
Wallis And Futuna Islands,1965,8724,1.35 %,113,62,0 %,0,0 %,3339583597,221
Wallis And Futuna Islands,1960,8157,1.24 %,98,58,0 %,0,0 %,3034949748,219
Wallis And Futuna Islands,1955,7669,1.84 %,134,55,0 %,0,0 %,2773019936,221
