country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Zambia,2020,18383955,2.93 %,522925,-8000,17.6,4.66,25,45.3 %,8336381,0.24 %,7794798739,65
Zambia,2019,17861030,2.94 %,509322,-8000,16.9,5.09,24,44.8 %,7993486,0.23 %,7713468100,65
Zambia,2018,17351708,2.96 %,498109,-8000,16.9,5.09,23,44.2 %,7663677,0.23 %,7631091040,65
Zambia,2017,16853599,3.00 %,490141,-8000,16.9,5.09,23,43.6 %,7346421,0.22 %,7547858925,68
Zambia,2016,16363458,3.05 %,484097,-8000,16.9,5.09,22,43.0 %,7041082,0.22 %,7464022049,69
Zambia,2015,15879361,3.14 %,454675,-10000,16.7,5.20,21,42.5 %,6747236,0.22 %,7379797139,69
Zambia,2010,13605984,2.79 %,349947,-35000,16.2,5.60,18,40.1 %,5450667,0.20 %,6956823603,70
Zambia,2005,11856247,2.62 %,288061,-30000,16.3,5.95,16,37.5 %,4448559,0.18 %,6541907027,71
Zambia,2000,10415944,2.75 %,263867,4000,16.6,6.10,14,35.2 %,3665128,0.17 %,6143493823,73
Zambia,1995,9096607,2.51 %,211952,-30000,16.4,6.30,12,37.3 %,3390243,0.16 %,5744212979,80
Zambia,1990,8036845,3.03 %,222739,-15000,16.2,6.60,11,39.4 %,3163284,0.15 %,5327231061,81
Zambia,1985,6923149,3.42 %,214265,2000,15.9,6.90,9,39.8 %,2758109,0.14 %,4870921740,82
Zambia,1980,5851825,3.43 %,181708,-5000,15.7,7.25,8,40.1 %,2344812,0.13 %,4458003514,86
Zambia,1975,4943283,3.42 %,152843,-4000,15.7,7.40,7,35.1 %,1734432,0.12 %,4079480606,89
Zambia,1970,4179067,3.20 %,121721,-4408,16.0,7.30,6,30.3 %,1266841,0.11 %,3700437046,94
Zambia,1965,3570464,3.06 %,99938,-7066,16.4,7.25,5,23.3 %,832850,0.11 %,3339583597,99
Zambia,1960,3070776,3.03 %,85160,0,17.1,6.95,4,18.0 %,552492,0.10 %,3034949748,97
Zambia,1955,2644976,2.74 %,66907,0,17.4,6.70,4,14.5 %,382236,0.10 %,2773019936,99
