country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Zimbabwe,2020,14862924,1.48 %,217456,-116858,18.7,3.63,38,38.4 %,5700460,0.19 %,7794798739,74
Zimbabwe,2019,14645468,1.43 %,206666,-116858,18.5,3.99,38,38.0 %,5571525,0.19 %,7713468100,74
Zimbabwe,2018,14438802,1.42 %,202207,-116858,18.5,3.99,37,37.7 %,5447513,0.19 %,7631091040,74
Zimbabwe,2017,14236595,1.47 %,206264,-116858,18.5,3.99,37,37.4 %,5328766,0.19 %,7547858925,74
Zimbabwe,2016,14030331,1.56 %,215702,-116858,18.5,3.99,36,37.2 %,5215894,0.19 %,7464022049,74
Zimbabwe,2015,13814629,1.70 %,223381,-124599,18.4,4.09,36,37.0 %,5109485,0.19 %,7379797139,73
Zimbabwe,2010,12697723,1.01 %,124205,-102535,18.6,3.89,33,36.8 %,4676106,0.18 %,6956823603,71
Zimbabwe,2005,12076699,0.33 %,39044,-139563,18.3,3.72,31,36.5 %,4413866,0.18 %,6541907027,70
Zimbabwe,2000,11881477,0.81 %,94153,-104934,18.2,3.89,31,34.7 %,4125989,0.19 %,6143493823,65
Zimbabwe,1995,11410714,1.81 %,195659,-59647,17.6,4.42,29,31.5 %,3592151,0.20 %,5744212979,64
Zimbabwe,1990,10432421,3.28 %,310986,16871,16.9,5.37,27,28.3 %,2951918,0.20 %,5327231061,64
Zimbabwe,1985,8877489,3.68 %,293773,19814,16.0,6.30,23,24.8 %,2200595,0.18 %,4870921740,73
Zimbabwe,1980,7408624,3.32 %,222950,-30457,15.1,7.30,19,21.6 %,1602677,0.17 %,4458003514,75
Zimbabwe,1975,6293875,3.54 %,200914,-9109,15.4,7.40,16,19.3 %,1215331,0.15 %,4079480606,79
Zimbabwe,1970,5289303,3.42 %,163625,-8400,15.6,7.40,14,17.0 %,898584,0.14 %,3700437046,79
Zimbabwe,1965,4471177,3.43 %,138899,-3002,16.0,7.30,12,14.4 %,644767,0.13 %,3339583597,91
Zimbabwe,1960,3776681,3.28 %,112679,-1501,17.2,7.00,10,12.5 %,472478,0.12 %,3034949748,87
Zimbabwe,1955,3213286,3.19 %,93287,-901,18.1,6.80,8,11.5 %,371106,0.12 %,2773019936,91
